pair_id,pair_type,beta,Delta_policy,Delta_ref,u,sigmoid_beta_u,gradient_scale,near_zero,saturated
protocol_v1_A_016_02202_collision_orbit_right_64_seed41202_wrong_camera_motion_local,local_corruption,2.0,0.0033422261476516724,0.0033422261476516724,0.0,0.5,1.0,True,False
protocol_v1_A_016_02202_collision_orbit_right_64_seed41202_wrong_camera_motion_local,local_corruption,5.0,0.0033422261476516724,0.0033422261476516724,0.0,0.5,2.5,True,False
protocol_v1_A_016_02202_collision_orbit_right_64_seed41202_wrong_camera_motion_local,local_corruption,10.0,0.0033422261476516724,0.0033422261476516724,0.0,0.5,5.0,True,False
protocol_v1_A_017_02202_collision_orbit_right_64_seed41202_object_deformation_local,local_corruption,0.05,0.0007800981402397156,0.0007800981402397156,0.0,0.5,0.025,True,False
protocol_v1_A_017_02202_collision_orbit_right_64_seed41202_object_deformation_local,local_corruption,0.1,0.0007800981402397156,0.0007800981402397156,0.0,0.5,0.05,True,False
protocol_v1_A_017_02202_collision_orbit_right_64_seed41202_object_deformation_local,local_corruption,0.2,0.0007800981402397156,0.0007800981402397156,0.0,0.5,0.1,True,False
protocol_v1_A_017_02202_collision_orbit_right_64_seed41202_object_deformation_local,local_corruption,0.5,0.0007800981402397156,0.0007800981402397156,0.0,0.5,0.25,True,False
protocol_v1_A_017_02202_collision_orbit_right_64_seed41202_object_deformation_local,local_corruption,1.0,0.0007800981402397156,0.0007800981402397156,0.0,0.5,0.5,True,False
protocol_v1_A_017_02202_collision_orbit_right_64_seed41202_object_deformation_local,local_corruption,2.0,0.0007800981402397156,0.0007800981402397156,0.0,0.5,1.0,True,False
protocol_v1_A_017_02202_collision_orbit_right_64_seed41202_object_deformation_local,local_corruption,5.0,0.0007800981402397156,0.0007800981402397156,0.0,0.5,2.5,True,False
protocol_v1_A_017_02202_collision_orbit_right_64_seed41202_object_deformation_local,local_corruption,10.0,0.0007800981402397156,0.0007800981402397156,0.0,0.5,5.0,True,False
protocol_v1_A_018_02202_collision_orbit_right_64_seed41202_object_identity_change_local,local_corruption,0.05,0.009543418884277344,0.009543418884277344,0.0,0.5,0.025,True,False
protocol_v1_A_018_02202_collision_orbit_right_64_seed41202_object_identity_change_local,local_corruption,0.1,0.009543418884277344,0.009543418884277344,0.0,0.5,0.05,True,False
protocol_v1_A_018_02202_collision_orbit_right_64_seed41202_object_identity_change_local,local_corruption,0.2,0.009543418884277344,0.009543418884277344,0.0,0.5,0.1,True,False
protocol_v1_A_018_02202_collision_orbit_right_64_seed41202_object_identity_change_local,local_corruption,0.5,0.009543418884277344,0.009543418884277344,0.0,0.5,0.25,True,False
