manifest_path,total_rows,read_error,prefix_exists,image_exists,gt_full_exists,gt_future_exists,target_exists,prompt_exists_or_text,poses_exists,intrinsics_exists,runnable,can_cut_prefix_future,template_distribution,camera_motion_distribution,path_root_type
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_10/selected_manifest.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""containment"": 1}","{""orbit_left_44"": 1}","{""local_assets"": 3}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_11/generated_manifest.csv,1,,1,1,1,1,1,1,1,1,1,1,"{""containment"": 1}","{""orbit_left_44"": 1}","{"""": 2, ""local_assets"": 1}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_11/generated_manifest.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""containment"": 1}","{""orbit_left_44"": 1}","{"""": 2, ""local_assets"": 1}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_11/selected_manifest.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""containment"": 1}","{""orbit_left_44"": 1}","{""local_assets"": 3}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_12/generated_manifest.csv,1,,1,1,1,1,1,1,1,1,1,1,"{""containment"": 1}","{""orbit_left_44"": 1}","{"""": 2, ""local_assets"": 1}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_12/generated_manifest.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""containment"": 1}","{""orbit_left_44"": 1}","{"""": 2, ""local_assets"": 1}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_12/selected_manifest.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""containment"": 1}","{""orbit_left_44"": 1}","{""local_assets"": 3}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_13/generated_manifest.csv,1,,1,1,1,1,1,1,1,1,1,1,"{""containment"": 1}","{""orbit_left_44"": 1}","{"""": 2, ""local_assets"": 1}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_13/generated_manifest.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""containment"": 1}","{""orbit_left_44"": 1}","{"""": 2, ""local_assets"": 1}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_13/selected_manifest.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""containment"": 1}","{""orbit_left_44"": 1}","{""local_assets"": 3}"
